DRUGS,ROOTS,VARIANTS
oxyplastine,oxyplastine,"oxyplastine creme,
oxyplastine pommade"
oxytroy,oxytroy,oxytroy
oziben,oziben,"oziben cp 500 mg,
oziben sp"
paidofebril,paidofebril,paidofebril sp
paidoterin,paidoterin,"paidoterin,
paidoterin - 0,1/0,015/0,1g, fl/100ml,
paidoterin sirop,
paidoterin sp"
paindoterain,paindoterain,paindoterain
pain dermatologique,pain dermatologique,pain dermatologique
paluva,paluva,paluva
panadol,"panado extra, panadol, panadol actifast, panadol advance, panadol extra, 
panadol extra advance","panado extra,
panadol,
panadol 1000,
panadol 1g,
panadol 500,
panadol 500 mg,
panadol 500 mg comp,
panadol 500mg cp,
panadol cp,
panadol sirop,
panadol sp,
panadol 500 mg advance,
panadol advance,
panadol advance 500 mg,
panadol actifast,
panadol actifast cp,
panadol cp extra,
panadol extra,
panadol extra cp,
panadol extra cp 500,
panadol extra advance"
panalgic,"panalgic, panalgic codeine, panalgic cpe, panalgic extra","panalgic,
panalgic 1000,
panalgic 1g,
panalgic 1g comprimes,
panalgic 500,
panalgic 500 comprimes,
panalgic 500 mg,
panalgic 500 mg comprimes,
panalgic comp,
panalgic comprime,
panalgic comprimes,
panalgic cp,
panalgic cp sec,
panalgic effervescent,
panalgic sec,
panalgic cpe,
panalgic codeine,
panalgic extra
"
panderm,panderm,"panderm creme
"
panol,panol,panol sp
panotile,panotile,"panotile,
panotile goutte,
panotile gouttes,
panotile gouttes auriculaires"
pantonex,"panto denk, pantonex, pantonex dr, pantopral, pantopral d
pantoprazole et domperide
pantotab","panto denk 40 mg comprimes,
panto denk comprime,
pantonex,
pantonex dr cp,
pantopral,
pantopral d,
pantopral d 20 mg,
pantopral d comp,
pantopral d cp
pantoprazole et domperide gelule
pantotab,
pantotab 40 mg"
para,"para, para amox, paracet
paracetamol, paracetamol pediatrique, paracetamol perf
paraco denk","para,
para 1 g,
para 120 mg,
para 1g,
para 500,
para 500 mg,
para 500mg,
para cp,
para cp 1g,
para sp,
para amox 500
paracet 1g
paracetamol,
paracetamol 1 cp,
paracetamol 1000,
paracetamol 1000 mg,
paracetamol 1g,
paracetamol 1g cp,
paracetamol 500,
paracetamol 500 comprime,
paracetamol 500 mg,
paracetamol 500 mg cp,
paracetamol 500 mg inj,
paracetamol 500mg,
paracetamol cp,
paracetamol cp 1g,
paracetamol cp 500 mg,
paracetamol inj,
paracetamol inj 1g,
paracetamol sirop,
paracetamol perf,
paracetamol sp pediatrique
paraco denk,
paraco denk 500 mg"
paradontax,"paradontax, paradontax pate","paradontax,
paradontax pate"
parodontax,"parodontax, parodontax dentifrice","parodontax,
parodontax sol,
parodontax dentifrice"
parib c,parib c,parib c comp
parogencyl soin gingival intensive pate dentifrice,parogencyl soin gingival intensive pate dentifrice,parogencyl soin gingival intensive pate dentifrice
parol,parol,"parol 500mg,
parol sp"
passedyl,passedyl,"passedyl sirop,
passedyl sp"
pasyf,pasyf,pasyf 500
pectogen,pectogen,"pectogen,
pectogen sirop,
pectogen sp"
pediakid zing,"pediakid appetit tonus, pediakid fer vit, pediakid immun, pediakid nez et gorge, 
pediakid nez gorge, pediakid probiotique, pediakid transit doux, pediakid vit d, 
pediakid vit d buvab, pediakid vitamine, pediakid zing","pediakid 22 vitamine,
pediakid immun fort,
pediakid nez et gorge spray,
pediakid nez gorge,
pediakid nez gorge sirop,
pediakid sp nez- gorge,
pediakid probiotique,
pediakid sirop appetit tonus,
pediakid sirop fer + vit b,
pediakid vit d gouttes,
pediakid transit doux,
pediakid vit d gouttes buvab,
pediakid zing sp"
pediavit,pediavit,"pediavit,
pediavit sirop,
pediavit sp"
pedifen,pedifen,pedifen sp
peitel,peitel,"peitel,
peitel 0,25,
peitel creme,
peitel pommade"
 pentasa lavement,"pentasa granules grammes, pentasa lavement","pentasa granules 2 grammes,
pentasa lavement"
 pepsane sach,"pepsane, pepsane sach","pepsane,
pepsane sachet,
pepsane sach"
peptex,peptex,"peptex,
peptex sachets,
peptex sirop,
peptex sp,
peptex stick"
perfalgan,"perfalgan, perfalgan dynapar, perfalgan trabar
perfelgan spasfon","perfalgan,
perfalgan 1g,
perfalgan adulte - 10mg/ml,fl/100ml, b/1,
perfalgan inj,
perfalgan inj 1g,
perfalgan + dynapar,
perfalgan + trabar
perfelgan + spasfon"
perfuseur,"perfuseur, perfuseur bandelette glycemique, perfuseur catheter bleu, perfuseurs","perfuseur,
perfuseur + catheter bleu,
perfuseur, bandelette glycemique
perfuseurs"
peridys,peridys,"peridys,
peridys sp"
perinam,perinam,perinam 8/10
perindogen,perindogen,perindogen 10 mg
perispam,"perispam, perispasm, perispasm ou phloro","perispam
perispasm,
perispasm 80,
perispasm 80 mg,
perispasm 80 mg dispersible,
perispasm 80mg cp,
perispasm comprimes,
perispasm cp,
perispasm cpes,
perispasm ou phloro g 80 mg"
permanganate de potassium en,permanganate de potassium en,permanganate de potassium en solution
pervital,pervital,pervital sp
pevagine,"pevagine, pevagine pevagine","pevagine,
pevagine creme,
pevagine creme + pevagine ovule"
"pevaryl
","pevaryl, pevaryl poudre","pevaryl creme,
pevaryl lait,
pevaryl solution,
pevaryl poudre"
pervaryl,pervaryl,pervaryl
pharmatex,pharmatex,pharmatex ovules
pharmentin xr,pharmentin xr,"pharmentin xr,
pharmentin xr 1g"
phartrim,phartrim,"phartrim 400 mg/80,
phartrim sirop,
phartrim sp"
phenergan,phenergan,"phenergan,
phenergan 25,
phenergan 25 mg,
phenergan cp,
phenergan sp"
"phloro, phlorogex","phloro, phlorogex","phloro g,
phloro g 80,
phlorogex,
phlorogex 160 mg,
phlorogex 80 mg
"
phorogex,phorogex,phorogex 160 mg
phydiodose embout,phydiodose embout,phydiodose + embout
physiodose,"physiodose, physiodose filtre mouche bebe, physiodose serum, 
physiodose serum physiologique","
physiodose,
physiodose gtte,
physiodose solution,
physiodose filtre mouche bebe,
physiodose serum,
physiodose serum physiologique"
physiolac,physiolac,physiolac 1
physiorelax ultra heat,physiorelax ultra heat,physiorelax ultra heat
phytoral,"phytoral, phytoral savon, phytoral shamp, phytoral shampoing, phytoral shp
phytoralshampoo","phytoral creme,
phytoral solution,
phytoral shp,
phytoral savon,
phytoral shamp,
phytoral shampoing,
phytoral solution shampoing
phytoral shampoo,
phytoralshampoo"
piascledine,piascledine,piascledine 300
pigmeuclav crem,pigmeuclav crem,pigmeuclav crem
pinkoo,"pinkoo, pinkoo pediatriq","pinkoo,
pinkoo sirop,
pinkoo sp,
pinkoo sirop pediatriq"
piroxicam,piroxicam,piroxicam 20 mg
plaquenil ou immard,plaquenil ou immard,plaquenil 200 mg ou immard 200 mg
pneumovax vaccin,pneumovax vaccin,pneumovax vaccin
poche a urine,poche a urine,poche a urine
polaramine,polaramine,"polaramine,
polaramine 2 mg,
polaramine cp,
polaramine sp"
poloramine,poloramine,"
poloramine"
polydexa,polydexa,"polydexa,
polydexa goutte,
polydexa goutte auriculaire,
polydexa gouttes,
polydexa gouttes auriculaires,
polydexa gtte,
polydexa gttes"
polyfresh,polyfresh,"polyfresh,
polyfresh colly,
polyfresh collyre"
polygynax,"polygynax, polygynax ov, polygynax ovul, polygynax vaginale, polygynax virgo, 
polygynax virgo vierge","polygynax,
polygynax 0vule,
polygynax 12 ovules,
polygynax b 6,
polygynax b6,
polygynax ovule,
polygynax ovules,
polygynax ov,
polygynax capsule vaginale,
polygynax ovul,
polygynax virgo,
polygynax virgo vierge"
dermatose,dermatose,pommade dermatose
hec ou homeoplasmine,hec ou homeoplasmine,pommade hec ou homeoplasmine
positon,"positon, positon pmd","positon 30 mg pommade,
positon creme,
positon pde,
positon pmde,
positon pommade,
positon pmd"
potassium,potassium,"potassium - 25mg/ml, fl/125ml"
potenciator,potenciator,"potenciator,
potenciator 5g,
potenciator 5g ampoules,
potenciator 5g ampoules buvables,
potenciator amp,
potenciator sol buv"
poudre exophene,poudre exophene,poudre exophene
poupon gaz,poupon gaz,poupon gaz sirop
prazol,"prazol, prazole","prazol 20,
prazol 20 mg,
prazol 20 mg gelules
prazole 20mg"
predni,"predni, prednisolone, prednisolone biogaran
prednisone","predni 20,
predni 20 cp,
predni 20 mg,
predni 20 mg cp,
predni 20 mg cp eff,
predni 20 mg cp effervescent,
predni 20mg,
predni cp 20 mg,
prednisolone b 20 mg biogaran,
prednisolone cp 20 mg
prednisone 20 mg,
prednisone 20mg"
pregabalin,"pregabalin, pregabalin gh, pregabaline","pregabalin 50 mg,
pregabalin 75 gh,
pregabalin gh 75,
pregabaline 25mg,
pregabaline 50 mg"
pregasafe,pregasafe,"pregasafe,
pregasafe 150,
pregasafe 75,
pregasafe 75 mg,
pregasafe 75mg,
pregasafe cp 150"
prenatal,"prenatal, prenatal denk, prenatal dha, prenatal dha denk, prenatal dsl","prenatal,
prenatal cp,
prenatal g,
prenatal + dha,
prenatal + dha cp,
prenatal dha,
prenatal dha mg comprime,
prenatal dsl,
prenatal denk,
prenatal denk comprimes,
prenatal denk cp,
prenatal dha denk"
prevenar,prevenar,prevenar 13
primalac,"primalac, primalac ac","primalac 1,
primalac 1 lait,
primalac ac"
primalan,"primalan, primalan mequitazine, primalan srp","primalan,
primalan -sirop,
primalan 10,
primalan 10 mg,
primalan 10 mg cp,
primalan 10mg,
primalan 5 mg,
primalan cp,
primalan cp 10 mg,
primalan sirop,
primalan sp,
primalan srp,
primalan (mequitazine) sirop,
primalan mequitazine sirop,
primalan(mequitazine) sirop"
primicort,primicort,primicort 1g
primolut nor,primolut nor,"primolut nor,
primolut nor cp"
princi,princi,"princi b fort,
princi b fort cp"
priorix,priorix,priorix
probeta n,probeta n,probeta n collyre
probiotiques lactobacilles,probiotiques lactobacilles,probiotiques lactobacilles
profenid,"profenid, profenid supp","profenid 100,
profenid 100 mg cp,
profenid 100 mg suppositoire,
profenid 100 suppo,
profenid 100mg,
profenid cp,
profenid cp 100 mg,
profenid inj im,
profenid suppo,
profenid supp"
profenol,profenol,profenol sp
progesterone,"progesterone, progesterone gh","progesterone,
progesterone 200,
progesterone 200 mg,
progesterone gh 200,
progesterone gh 200 mg,
progesterone gh 200mg"
progynova ou provames,progynova ou provames,progynova 2 mg ou provames 2 mg
propanolol,propanolol,"propanolol,
propanolol 40,
propanolol 40 mg"
propranolol,"propranolol, propranolol eg","propranolol,
propranolol 40,
propranolol 40 mg,
propranolol eg"
propofan,propofan,"propofan,
propofan -cp,
propofan comp,
propofan cp,
propofan gelule"
protexim,protexim,"protexim 20mg
"
protexium,protexium,protexium 40 mg
proton,proton,proton 20 mg
proviron,proviron,proviron 25 mg
prurex,prurex,"prurex,
prurex 40 g,
prurex 40g,
prurex creme,
prurex pommade"
pulmicort,"pulmicort, pulmicort p inhal, pulmicort pour inhalation","pulmicort 0,5 mg ampoule pour inhalation,
pulmicort 1 mg,
pulmicort 1mg,
pulmicort 1mg/2ml susp p inhal"
pyostacine,pyostacine,pyostacine
pyralvex,"pyralvex, pyralvex ou equivalent","pyralvex,
pyralvex ou equivalent"
pyrantel,"pyrantel, pyrantel gh","pyrantel gh 250,
pyrantel sp"
quinolox,quinolox,"quinolox,
quinolox 200mg"
quintana,quintana,"quintana 10 mg cp,
quintana 10mg,
quintana 5mg cp,
quintana cp,
quintana sirop,
quintana sp"
ra thermoseal,"ra thermoseal, ra thermoseal pate gingivale","ra thermoseal,
ra thermoseal pate gingivale"
rabeloc,rabeloc,"rabeloc,
rabeloc 20 mg,
rabeloc cp"
rabemac,"rabemac, rabemac dsr","rabemac 20 mg,
rabemac 20mg,
rabemac 20mg cp,
rabemac cp,
rabemac dsr,
rabemac dsr cp"
rabetar,rabetar,rabetar 20
raciper,raciper,raciper 40mg
raldol,raldol,"raldol,
raldol comprimes,
raldol cp"
ramipril,"ramipril, ramipril gh","ramipril 5 mg,
ramipril gh 5,
ramipril gh 5 mg"
ramithiadzide,ramithiadzide,"ramithiadzide
"
ramithiazide,ramithiazide,"ramithiazide,
ramithiazide 10/12,5,
ramithiazide 10/12,5 mg,
ramithiazide 10/25,
ramithiazide 5 mg"
ranferon,"ranferon, ranferon nan","ranferon 12,
ranferon 12 sirop,
ranferon gel,
ranferon gelule,
ranferon plus,
ranferon sp,
ranferon 12 gel bt100 - nan"
ranophage od,ranophage od,ranophage od 1000
rantudil,rantudil,"rantudil 60mg,
rantudil 90,
rantudil lp 90 mg,
rantudil retard cp 90 mg"
rapiclav,rapiclav,rapiclav
rapidex,"rapidex, rapidex saceht","rapidex,
rapidex cp,
rapidex sachet,
rapidex sachets,
rapidex sirop,
rapidex sp,
rapidex saceht"
rbc,rbc,"rbc cp,
rbc gel,
rbc sp"
renerve,"renerve, renerve p","renerve p,
renerve plus,
renerve plus gelules"
rental,rental,rental
resifuran,resifuran,resifuran sirop
respibien,respibien,"respibien,
respibien gtte"
respimax,respimax,respimax
restriva,"restriva, restriva spasfon","restriva,
restriva 500,
restriva cp,
restriva cp 500,
restriva inj,
restriva injectable,
restriva + spasfon"
reumoxican,reumoxican,"reumoxican,
reumoxican suppo"
revital,"revital, revital cop,
revitalose, revitalose a, revitalose a dose, revitalose ab, revitalose ample, 
revitalose sans sucre","revital,
revital gel,
revital gelules,
revital cop
revitalose,
revitalose amp,
revitalose amp buv,
revitalose ampoule,
revitalose capsules,
revitalose cp,
revitalose sp,
revitalose a + b,
revitalose a+b,
revitalose ab,
revitalose ample,
revitalose ampoule a dose,
revitalose sans sucre"
rhinathiol,"rhinathiol, rhinathiol promethazine, rhinathiol toux grasse","rhinathiol,
rhinathiol 2% sirop,
rhinathiol 5%,
rhinathiol sirop,
rhinathiol sp,
rhinathiol promethazine sirop,
rhinathiol toux grasse"
rinathiol,rinathiol,rinathiol sp
rhinex,"rhinex, rhinex flash, rhinex flash fludol","rhinex,
rhinex flash / fludol,
rhinex flash comprimes"
rhinofluimucil,rhinofluimucil,"rhinofluimucil -spray,
rhinofluimucil spray
"
rhinogrip,rhinogrip,rhinogrip sachet
rhinolaya,"rhinolaya, rhinolaya kids, rhinolaya nas, rhinolaya protect","rhinolaya,
rhinolaya fort,
rhinolaya fort solution nas,
rhinolaya kids,
rhinolaya protect"
rhinomaxil,"rhinomaxil, rhinomaxil microgrammes","rhinomaxil,
rhinomaxil 100 microgrammes spray"
rhinoparol,rhinoparol,rhinoparol
rhumix,"rhumix, rhumix sach","rhumix,
rhumix cp,
rhumix sachet,
rhumix sach"
rhuvex,"rhuvex, rhuvex ad","rhuvex,
rhuvex scht ad"
ribatran,ribatran,"ribatran,
ribatran comprime,
ribatran comprimes,
ribatran cp"
richefer,richefer,"richefer cp
"
richfer,richfer,"richfer,
richfer 80 mg,
richfer cp,
richfer gel,
richfer gelule,
richfer gelules,
richfer sirop,
richfer sp"
rifa,"rifa,
rifamycine, rifamycine collre, rifamycine pd, rifamycine pmd","rifa colly,
rifa collyre,
rifamycine collre,
rifamycine collyre,
rifamycine pommade,
rifamycine pd,
rifamycine pmd"
rinasan,rinasan,"rinasan 0,5%"
ringer,"ringer, ringer lactate","ringer,
ringer lactate"
rl,rl,rl inj
rinialer,rinialer,"rinialer,
rinialer 10 mg cp,
rinialer comprime,
rinialer cp,
rinialer sirop,
rinialer sp,
rinialer sr"
rinogrip,"rinogrip, rinogrip sacht, rinogrip sans sucre, rinogrip sh","rinogrip,
rinogrip sachet,
rinogrip scht,
rinogrip sh,
rinogrip sacht,
rinogrip sans sucre"
rinomicine,"rinomicine, rinomicine sach, rinomicine saht, rinomicine sht","rinomicine,
rinomicine sachet,
rinomicine sachet 1g,
rinomicine sachets,
rinomicine sch,
rinomicine scht,
rinomicine sach,
rinomicine sht,
rinomicine saht"
rinosan,rinosan,rinosan
ripharma vit c,ripharma vit c,ripharma vit c
risperidone,risperidone,risperidone 2 mg cp
rituximab,rituximab,rituximab 500 mg
rocgel,rocgel,rocgel sachet
rocmaline,rocmaline,"rocmaline,
rocmaline amp"
roipar ,"roipar, roipar grippe","roipar,
roipar 1000,
roipar 1000mg,
roipar 1g,
roipar 500,
roipar cp,
roipar cp effervescent,
roipar plus,
roipar plus 1g,
roipar plus 500,
roipar plus comprimes,
roipar plus cp,
roipar sp,
roipar grippe
"
roivit multivit,"roivit multivit, roivit multivitamines","roivit multivit,
roivit multivitamines"
rolicin,rolicin,"rolicin,
rolicin 250 mg,
rolicin 500,
rolicin 500 mg,
rolicin 500mg,
rolicin cp"
romac,romac,"romac,
romac 200 mg cp,
romac 300,
romac 300 cp,
romac 300mg"
ronalin,ronalin,ronalin
rosukaa,"rosu denk
rosukaa
rosumac
rosutor
rosuvastatin","rosu 10mg denk,
rosu denk 10 mg
rosukaa 10 mg,
rosukaa 10mg,
rosukaa 20,
rosukaa 20 mg
rosumac,
rosumac 10,
rosumac 10mg cp,
rosumac 20,
rosumac 20 mg,
rosumac 200,
rosumac-10
rosutor 10,
rosutor 20mg
rosuvastatin pms10mg"
rovator,rovator,rovator 10 mg
rova,"rova
rovamycine, rovamycine cps","rova 1,5millim
rovamycine 3mui,
rovamycine cp 1,5mui,
rovamycine 3mui cps"
roxyl,roxyl,roxyl 300 mg
rubix,rubix,rubix gel
rulid,rulid,"rulid 150,
rulid 150 cp,
rulid 150 mg cp,
rulid 150mg"
safex kit,safex kit,safex kit
saforelle,"saforelle, saforelle intime, saforelle lavant, saforelle pm, 
saforelle pour toilette matin et soir, 
saforelle savon liquide","saforelle,
saforelle 250 ml,
saforelle creme,
saforelle gel,
saforelle lotion,
saforelle solution,
saforelle sp,
saforelle pm,
saforelle gel intime,
saforelle gel lavant,
saforelle pour toilette matin et soir,
saforelle savon liquide
"
saforlle,saforlle,saforlle creme
salazopyrine,salazopyrine,salazopyrine
salbutamol,"salbutamol, salbutamol aerosol, salbutamol aersl, salbutamol pour inhalation
salbutus, salbutus gm","salbutamol 2,5 mg pour inhalation,
salbutamol 2,5mg / 2,5ml,
salbutamol sirop,
salbutamol sp,
salbutamol aerosol,
salbutamol aersl 2,5 mg
salbutus,
salbutus 100 sp,
salbutus sirop,
salbutus sp,
salbutus sp 200ml,
salbutus sp gm"
salvatis poudre,salvatis poudre,salvatis poudre
saniver ou terzol,saniver ou terzol,saniver ou terzol
saphir,"saphir, saphir ou augmentin","saphir,
saphir 1000 mg,
saphir 1000/125,
saphir 1g,
saphir 1g/125mg,
saphir 500,
saphir 500 mg,
saphir sachet,
saphir sp ou augmentin sp"
sat,"sat, sat vat","sat,
sat, vat,
sat/ vat,
sat/vat"
savon,"savon, savon de, savon lipikar, savon nettoyant yafa, savon neutraderm, 
savon noura, savon pot, savon solubacter liquide, savon surgras lipikar, savon t, 
savon topicrem pain surgras, savon topicreme mela","savon,
savon de,
savon pot,
savon t,
savon lipikar,
savon nettoyant yafa,
savon neutraderm,
savon noura,
savon solubacter liquide,
savon surgras lipikar,
savon topicrem pain surgras,
savon topicreme mela"
scabiol,scabiol,scabiol solution
 sebionex spf,"sebionex pain dermato, sebionex spf","sebionex pain dermato,
sebionex spf 50+"
secalia ato balm,secalia ato balm,secalia ato balm
securil,securil,securil cp
secuvit,secuvit,"secuvit,
secuvit cp,
secuvit gel,
secuvit sirop,
secuvit sp"
sedorrhoide,"sedorrhoide, sedorrhoide pm","sedorrhoide,
sedorrhoide creme,
sedorrhoide suppositoire,
sedorrhoide pm"
sekalgic,sekalgic,"sekalgic,
sekalgic cp"
sekisan,sekisan,"sekisan,
sekisan sirop,
sekisan sp"
sekrol,sekrol,sekrol sp
sels de rehydratation,sels de rehydratation,sels de rehydratation orale
sepcen,sepcen,sepcen 750 cp
septimyl,"septimyl, septimyl pulv","septimyl,
septimyl - 0,5%, fl/100ml,
septimyl sol,
septimyl spray,
septimyl pulv"
polyfresh,septyl,"septyl 200 ml,
septyl 80 ml bb,
septyl bb,
septyl solution"
serenatal,serenatal,serenatal g
seretide,"seretide, seretide aerosol, seretide diskus","seretide 200 mg,
seretide 250,
seretide 250 g,
seretide 250/50,
seretide 500,
seretide 500 mg,
seretide spray 50g/250,
seretide 500 g aerosol,
seretide diskus,
seretide diskus 500/50"
 serignue cc,"serignue, serignue cc","serignue 10 cc,
serignue 10cc
"
serigue ,serigue cc,"serigue 10 cc
"
seringue,"seringue, seringue a insuline, seringue cc, seringue cc xilo eppi, seringue ccc, 
seringue eppi xylo, seringues, seringues cc","seringue,
seringue 10cc,
seringue 5cc,
seringue 10 cc,
seringue 50 cc,
seringue 10 ccc,
seringue 10 cc + xilo + eppi,
seringue 10cc + eppi + xylo,
seringue a insuline
seringues 10 cc,
seringues 10cc"
serum physiologique,"serum physiologique, serum physiologique physiodose, 
serum physiologique seringue, serum sale isotonique ssi","serum physiologique,	
serum physiologique + seringue,	
serum physiologique physiodose,	
serum sale isotonique ssi	"
sg,"sg, sg vitagen, sg%","sg 5 %,
sg 5%,
sg5%,
sg 5% + vitagen,
"
silotrif,silotrif,silotrif 8 mg
singulair,singulair,"singulair 10 cp,
singulair 10 mg,
singulair 5 mg"
sintrom,sintrom,"sintrom 4 mg,
sintrom 4mg"
bactox aceclav,bactox aceclav,sirop bactox / aceclav 250 mg
vermox,vermox,"sirop vermox,
vermox,
vermox 200,
vermox 500,
vermox 500 cp,
vermox cp,
vermox cp 500 mg,
vermox sp,
vermox susp"
sitrus,"sitrus, sitrus vit c","sitrus,
sitrus -sr,
sitrus cp,
sitrus sr,
sitrus sr cp,
sitrus vit c"
skiacol,"skiacol, skiacol c","skiacol,
skiacol collyre,
skiacol (c)"
skilax,"skilax, skilax gout","skilax gout,
skilax goutte,
skilax gouttes,
skilax gtte,
skilax gttes,
skilax gtts"
skinet,skinet,"skinet,
skinet pde"
smecta,"smecta, smecta sach, smecta sacht, smecta sh","smecta,
smecta sachet,
smecta sachets,
smecta scht,
smecta susp,
smecta sach,
smecta sh,
smecta sacht"
soclav,"soclav, soclav enft, soclav sach, soclav sacht, soclav sht, soclav st","soclav,
soclav 10 sachet,
soclav 1000,
soclav 1000 mg sachets,
soclav 1g,
soclav 1g sachet,
soclav 1g sch,
soclav 1g scht,
soclav 1g/125mg,
soclav 500,
soclav 500 mg,
soclav enfant sirop,
soclav nourrisson,
soclav sachet,
soclav sachet 1g,
soclav sachets 1 g,
soclav sirop,
soclav sp,
soclav 500 mg sach,
soclav sht,
soclav st,
soclav st 1g,
soclav sacht 500 mg,
soclav sp enft"
sofbande,sofbande,sofbande
solcer,solcer,"solcer,
solcer 40mg inj,
solcer sp"
solexim,solexim,"solexim,
solexim 100mg,
solexim 200,
solexim 2cp 200"
solfer,solfer,solfer
solubacter,solubacter,solubacter
solupred,solupred,"solupred cp 20 mg,
solupred cp 20mg"
solute,solute,solute
sonde jj,"sonde foley ch, sonde jj, sonde urinaire poche","sonde foley ch 18,
sonde jj adulte,
sonde urinaire 18 + poche"
sophtal,sophtal,sophtal
sparadrap,"sparadrap, sparadrap de metre","sparadrap,
sparadrap 1/4 de metre"
spradrap,spradrap,spradrap
spasfon,"spasfon, spasfon apotel, spasfon lyoc, spasfon lyoc lyoph","spasfon,
spasfon - 80/80mg, b/30,
spasfon 80,
spasfon 80 mg,
spasfon 80 mg cp,
spasfon 80mg,
spasfon comp,
spasfon comprime,
spasfon comprimes,
spasfon cp,
spasfon inj,
spasfon sirop,
spasfon sp,
spasfon suppo,
spasfon 80 mg lyoc,
spasfon lyoc,
spasfon lyoc 80 mg,
spasfon lyoc cp 80 mg,
spasfon apotel,
spasfon apotel cp,
spasfon lyoc 80mg lyoph oral"
spasmocalm,"spasmo apotel, spasmo apotel cpme
spasmocalm
spasmotroy","spasmo apotel,
spasmo apotel 500mg,
spasmo apotel 80 mg,
spasmo apotel comp,
spasmo apotel comprime 500mg,
spasmo apotel cp,
spasmo apotel suppo,
spasmo-apotel,
spasmo-apotel cp,
spasmo apotel cpme
""spasmo calm,
spasmocalm,
spasmocalm 80 mg,
spasmocalm cp
spasmotroy,
spasmotroy 80,
spasmotroy 80 mg,
spasmotroy 80mg,
spasmotroy cp,
spasmotroy cp 40,
spasmotroy sp"
sapasmo apotel,sapasmo apotel,sapasmo apotel
special kid multi,"special kid appetit tonus, special kid immunite, special kid multi, 
special kid multivitamines, special kid nez gorge, special kid sommeil,
 special kids nutri","special kid appetit tonus sp,
special kid immunite,
special kid multi,
special kid multivitamines,
special kid nez - gorge,
special kid sommeil,
special kids nutri +"
spiralide,spiralide,"spiralide,
spiralide 3mui"
spirex,spirex,"spirex,
spirex plus,
spirex plus cp"
spirinolactone,spirinolactone,spirinolactone 50 mg
spironolactone altizide,spironolactone altizide,spironolactone altizide 25/15mg
spiromide,spiromide,"spiromide 40,
spiromide 40 mg"
sporalim,"sporalim, sporalim lot","sporalim 1%,
sporalim lotion,
sporalim lot"
sro,"sro, sro zinc","sro,
sro sachet,
sro + zinc,
sro - zinc,
sro zinc"
 kit sro zinc, kit sro zinc, kit sro zinc
ssi,"ssi, ssi cc, ssi vitagen","ssi,
ssi 0,9 %,
ssi 0,9%,
ssi 500,
ssi 500 cc,
ssi + vitagen,
ssi+vitagen"
stamaril dose,stamaril dose,stamaril 1 dose
staphypen,staphypen,staphypen 250
steack levre ictyane,steack levre ictyane,steack levre ictyane
sterdex,sterdex,"sterdex,
sterdex pde,
sterdex pmde,
sterdex pommade"
sterimar,"sterimar, sterimar allergique, sterimar baby, sterimar eau de mer, sterimar hygiene,
 sterimar hygienique, sterimar nasal, sterimar nasale, sterimar nasales, sterimar nez, 
sterimar nez allergique, sterimar pompe, sterimar pompe nasale, sterimar pulv, 
sterimar rhume","sterimar,
sterimar enfant,
sterimar gtte,
sterimar solution,
sterimar spray,
sterimar eau de mer,
sterimar nez bouche,
sterimar allergique,
sterimar baby,
sterimar gttes nasales,
sterimar hygiene,
sterimar hygienique,
sterimar nez allergique,
sterimar pompe,
sterimar pompe nasale,
sterimar pulv,
sterimar rhume,
sterimar solution nasale,
sterimar spray nasal"
stilnox,stilnox,stilnox
stimol,"stimol, stimol ab, stimol aple","stimol,
stimol - 1g/10ml, b/18,
stimol amp,
stimol amp buvable,
stimol ampoule,
stimol sachet,
stimol sirop,
stimol ab,
stimol aple"
stresam,stresam,stresam
strimol extra,strimol extra,"strimol extra,
strimol extra cp"
structum,structum,structum
sucria,sucria,"sucria,
sucria sachets"
sulrid,sulrid,sulrid
surlid,surlid,surlid
super cal zinc,super cal zinc,super cal zinc
supplin,supplin,supplin 500
supradyn,supradyn,supradyn
supralox,supralox,supralox
surdex,surdex,"surdex,
surdex sirop"
surecure,surecure,surecure gel
swicet l,swicet l,swicet-l sirop
swilide,swilide,"swilide 500mg,
swilide sp 200"
symbicort,"symbicort, symbicort aerosol, symbicort pompe, symbicort pulv, symbicort turbuhaler, 
symbicort ur","symbicort,
symbicort 100 mg,
symbicort 200,
symbicort 200 mg,
symbicort 40,
symbicort 400,
symbicort 400 g,
symbicort 400 mg,
symbicort 200 ur,
symbicort 200 turbuhaler,
symbicort aerosol,
symbicort pompe,
symbicort pulv"
synariam,synariam,synariam cp
synriam,synriam,"synriam,
synriam adulte,
synriam cp"
syngab,syngab,"syngab 100,
syngab 50,
syngab 50 cp,
syngab 50mg,
syngab 50mg gel,
syngab 75
"
syngap,syngap,syngap 50
t dol,"t dol, t dol p, t dol p rapid, t dol p rapide","t dol,
t dol inj,
t-dol,
t-dol 50 mg cp,
t-dol inj,
t dol p,
t-dol p,
t-dol p cp,
t-dol p rapid,
t-dol p rapide"
i dol rapide,i dol rapide,i dol rapide
tadaman,tadaman,tadaman 5mg
taflupro,taflupro,taflupro collyre
taladol p,taladol p,"taladol p
"
talodol p,talodol p,talodol p
tanagel,tanagel,"tanagel,
tanagel sachet,
tanagel sachets"
tanakan,tanakan,"tanakan,
tanakan cp"
